SALESMAN_ID,SALESMAN_NAME,ORDER_NO,'HIGHESTON',ORDER_DATE
5001,James Hong,70002,lowest on,05-OCT-12
5001,James Hong,70005,highest on,27-JUL-12
5001,James Hong,70005,lowest on,27-JUL-12
5001,James Hong,70008,highest on,15-AUG-12
5001,James Hong,70008,lowest on,15-AUG-12
5001,James Hong,70013,highest on,25-APR-12
5001,James Hong,70013,lowest on,25-APR-12
5002,Nail Knite,70001,highest on,05-OCT-12
5002,Nail Knite,70007,highest on,10-SEP-12
5002,Nail Knite,70012,highest on,27-JUN-12
5002,Nail Knite,70012,lowest on,27-JUN-12
5003,Lauson Hen,70003,highest on,10-OCT-12
5003,Lauson Hen,70004,highest on,17-AUG-12
5005,Pit Alex,70009,lowest on,10-SEP-12
5006,Pierre,70010,lowest on,10-OCT-12
5007,Paul Adam,70011,lowest on,17-AUG-12
